book_id,isbn,isbn13,authors,publication_year,title,language_code,average_rating,image_url
1005,375703861,9.78E+12,Zadie Smith,1999,White Teeth,en-US,3.75,https://images.gr-assets.com/books/1374739885m/3711.jpg
1006,62107062,9.78E+12,"Chris Kyle, Scott McEwen, Jim DeFelice",2012,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,eng,3.97,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1007,1582346186,9.78E+12,Chelsea Handler,2004,My Horizontal Life: A Collection of One-Night Stands,en-GB,3.79,https://images.gr-assets.com/books/1388631721m/35982.jpg
1008,61974552,9.78E+12,Pittacus Lore,2011,The Power of Six,eng,4.17,https://images.gr-assets.com/books/1345067406m/8659601.jpg
1009,1594488398,9.78E+12,Meg Wolitzer,2013,The Interestings,eng,3.54,https://images.gr-assets.com/books/1451446889m/15815333.jpg
1010,836218051,9.78E+12,Bill Watterson,1988,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,en-US,4.65,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1011,067001821X,,Geraldine Brooks,2008,People of the Book,eng,4,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1012,1439152802,9.78E+12,Kate Morton,2012,The Secret Keeper,,4.13,https://images.gr-assets.com/books/1455089196m/13508607.jpg
1013,696215322,9.78E+12,Better Homes and Gardens,1953,Better Homes & Gardens New Cook Book,,4.14,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1014,330491237,9.78E+12,Douglas Adams,1984,"So Long, and Thanks for All the Fish",eng,4.08,https://images.gr-assets.com/books/1369563116m/8698.jpg
1015,140282580,9.78E+12,"Hermann Hesse, Basil Creighton",1927,Der Steppenwolf: Erzählung,eng,4.11,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1016,055381706X,9.78E+12,Tess Gerritsen,2001,The Surgeon,en-GB,4.1,https://images.gr-assets.com/books/1277923728m/32263.jpg
1017,670026611,9.78E+12,Jojo Moyes,2012,The Girl You Left Behind,eng,3.95,https://images.gr-assets.com/books/1366558957m/17572903.jpg
1018,6480101,9.78E+12,Robin Hobb,1996,Royal Assassin,eng,4.21,https://images.gr-assets.com/books/1387145228m/68487.jpg
1019,345347951,9.78E+12,Arthur C. Clarke,1953,Childhood's End,en-US,4.09,https://images.gr-assets.com/books/1320552628m/414999.jpg
1020,763625299,9.78E+12,"Kate DiCamillo, Timothy Basil Ering",2004, The Tale of Despereaux,en-US,4,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1021,60852550,9.78E+12,"Barbara Kingsolver, Steven L. Hopp, Camille Kingsolver, Richard A. Houser",2007,"Animal, Vegetable, Miracle: A Year of Food Life",en-US,4.03,https://images.gr-assets.com/books/1480104279m/25460.jpg
1022,1619630656,9.78E+12,Sarah J. Maas,2014,Heir of Fire,eng,4.53,https://images.gr-assets.com/books/1460846511m/20613470.jpg
1023,812513754,9.78E+12,Robert Jordan,1994,,eng,4.1,https://images.gr-assets.com/books/1480096417m/35231.jpg
1024,385342306,9.78E+12,Alan Bradley,2009,The Sweetness at the Bottom of the Pie,eng,3.81,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1025,785263705,9.78E+12,Donald Miller,2003,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,en-US,3.92,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1026,385340397,9.78E+12,Diana Gabaldon,2005,A Breath of Snow and Ashes,eng,4.43,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1027,1484724917,9.78E+12,Rick Riordan,2014,The Blood of Olympus,eng,4.41,https://images.gr-assets.com/books/1464201441m/18705209.jpg
1028,1250069793,9.78E+12,Liane Moriarty,2016,Truly Madly Guilty,eng,3.55,https://images.gr-assets.com/books/1491249206m/26247008.jpg
1029,1607066017,9.78E+12,"Brian K. Vaughan, Fiona Staples",2012,"Saga, Volume One",eng,4.25,https://images.gr-assets.com/books/1486028947m/15704307.jpg
1030,316126691,9.78E+12,Chad Harbach,2011,The Art of Fielding,eng,3.99,https://images.gr-assets.com/books/1327882787m/10996342.jpg
1031,99285045,9.78E+12,Ernest Hemingway,1964,A Moveable Feast,eng,4.04,https://images.gr-assets.com/books/1427463201m/4631.jpg
1032,1590385810,9.78E+12,Brandon Mull,2006,Fablehaven,eng,4.08,https://images.gr-assets.com/books/1460309528m/44652.jpg
1033,64407683,9.78E+12,"Lemony Snicket, Brett Helquist",2000,The Wide Window,eng,3.91,https://images.gr-assets.com/books/1320705923m/438492.jpg
1034,451458443,9.78E+12,Jim Butcher,2001,Grave Peril,eng,4.18,https://images.gr-assets.com/books/1266470209m/91476.jpg
1035,743264738,9.78E+12,Walter Isaacson,2007,Einstein. His Life and Universe,eng,4.08,https://images.gr-assets.com/books/1328011405m/10884.jpg
1036,1476717486,9.78E+12,S.C. Stephens,2011,Effortless,eng,4.37,https://images.gr-assets.com/books/1364805648m/15842441.jpg
1037,385339097,9.78E+12,John Grisham,1998,The Street Lawyer,eng,3.81,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1038,014034893X,9.78E+12,Mildred D. Taylor,1976,"Roll of Thunder, Hear My Cry",eng,3.79,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1039,1594743347,9.78E+12,"Seth Grahame-Smith, Jane Austen",2009,Pride and Prejudice and Zombies,eng,3.28,https://images.gr-assets.com/books/1320449653m/5899779.jpg
1040,316154695,9.78E+12,David Sedaris,2013,Lets Explore Diabetes with Owls,eng,3.8,https://images.gr-assets.com/books/1359704028m/15790837.jpg
1041,679642420,9.78E+12,"Fyodor Dostoyevsky, Constance Garnett, Alan Myers, Joseph Frank, Anna Brailovsky",1868,Идиот,eng,4.18,https://images.gr-assets.com/books/1327865902m/12505.jpg
1042,671746723,9.78E+12,Douglas Adams,1987,Dirk Gently's Holistic Detective Agency,en-US,3.97,https://images.gr-assets.com/books/1404697381m/365.jpg
1043,810994739,9.78E+12,Jeff Kinney,2008,Rodrick Rules,en-US,4.1,https://images.gr-assets.com/books/1360095964m/1809465.jpg
1044,804138141,9.78E+12,Mindy Kaling,2015,Why Not Me?,eng,3.89,https://images.gr-assets.com/books/1442548684m/22716447.jpg
1045,62285688,9.78E+12,Veronica Roth,2014,Four: A Divergent Collection,eng,4.1,https://images.gr-assets.com/books/1393687572m/18126198.jpg
1046,1594206279,9.78E+12,"Aziz Ansari, Eric Klinenberg",2015,Modern Romance,eng,3.85,https://images.gr-assets.com/books/1432335014m/23453112.jpg
1047,61992259,9.78E+12,"Katherine Applegate, Patricia Castelao",2012,The One and Only Ivan,eng,4.24,https://images.gr-assets.com/books/1424981397m/11594337.jpg
1048,393050327,9.78E+12,Sebastian Junger,1997,The Perfect Storm: A True Story of Men Against the Sea,en-US,4.07,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1049,765350378,9.78E+12,Brandon Sanderson,2005,Elantris,eng,4.17,https://images.gr-assets.com/books/1475740953m/68427.jpg
1050,1406310255,9.78E+12,Patrick Ness,2008,The Knife of Never Letting Go,eng,3.96,https://images.gr-assets.com/books/1277071696m/2118745.jpg
1051,312199430,9.78E+12,Jim Fergus,1998,One Thousand White Women: The Journals of May Dodd,eng,3.88,https://images.gr-assets.com/books/1389821957m/33512.jpg
1052,743296419,9.78E+12,Jodi Picoult,2009,Handle with Care,eng,3.96,https://images.gr-assets.com/books/1316440644m/3720975.jpg
1053,1416521496,9.78E+12,"Stephen King, Darrel Anderson",2004,Song of Susannah,eng,3.98,https://images.gr-assets.com/books/1372296326m/5093.jpg
1054,525423664,9.78E+12,Ally Condie,2012,Reached,,3.56,https://images.gr-assets.com/books/1330717582m/13125947.jpg
1055,99578514,9.78E+12,Salman Rushdie,1981,Midnight's Children,eng,3.99,https://images.gr-assets.com/books/1371063511m/14836.jpg
1056,1400049628,9.78E+12,Max Brooks,2004,The Zombie Survival Guide: Complete Protection from the Living Dead,eng,3.86,https://images.gr-assets.com/books/1320562270m/535441.jpg
1057,440234743,9.78E+12,John Grisham,1999,The Testament,,3.83,https://images.gr-assets.com/books/1403174228m/5348.jpg
1058,1579126251,9.78E+12,Agatha Christie,1930,Murder at the Vicarage,eng,4.03,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1059,1416924981,9.78E+12,Margaret Peterson Haddix,1998,Among the Hidden ,eng,3.97,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1060,1594201455,9.78E+12,Michael Pollan,2007,In Defense of Food: An Eater's Manifesto,en-US,4.07,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1061,440995779,9.78E+12,Elizabeth George Speare,1958,The Witch of Blackbird Pond,en-US,3.97,https://images.gr-assets.com/books/1345499790m/703292.jpg
1062,,,Kiera Cass,2015,The Heir,eng,3.85,https://images.gr-assets.com/books/1422993526m/22918050.jpg
1063,440241898,9.78E+12,Sophie Kinsella,2002,Shopaholic Ties the Knot,eng,3.77,https://images.gr-assets.com/books/1371383294m/9419.jpg
1064,141439610,9.78E+12,"Wilkie Collins, Matthew Sweet",1859,The Woman in White,eng,3.98,https://images.gr-assets.com/books/1295661017m/5890.jpg
1065,316349933,9.78E+12,"Robert Galbraith, J.K. Rowling",2015,Career of Evil,eng,4.21,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1066,1416968237,9.78E+12,Jenny Han,2009,The Summer I Turned Pretty,en-US,3.96,https://images.gr-assets.com/books/1361666855m/5821978.jpg
1067,312966970,9.78E+12,Janet Evanovich,1998,Four to Score ,en-US,4.17,https://images.gr-assets.com/books/1311983211m/6422.jpg
1068,1573225789,9.78E+12,James McBride,1996,The Color of Water: A Black Man's Tribute to His White Mother,en-US,4.06,https://images.gr-assets.com/books/1401311300m/29209.jpg
1069,60889578,9.78E+12,"Steven D. Levitt, Stephen J. Dubner",2009,"SuperFreakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",en-US,3.95,https://images.gr-assets.com/books/1308117804m/6402364.jpg
1070,385339151,9.78E+12,Karen Marie Moning,2006,Darkfever,eng,4.14,https://images.gr-assets.com/books/1392579949m/112750.jpg
1071,312857063,9.78E+12,Terry Goodkind,1995,Stone of Tears,en-US,4.1,https://images.gr-assets.com/books/1478930875m/234184.jpg
1072,312554168,9.78E+12,Emily Giffin,2010,Heart of the Matter,en-US,3.73,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1073,141439831,9.78E+12,"William Makepeace Thackeray, John Carey",1847,Vanity Fair: A Novel Without a Hero,eng,3.76,https://images.gr-assets.com/books/1344386439m/5797.jpg
1074,1857988841,9.78E+12,Kurt Vonnegut Jr.,1959,The Sirens of Titan,en-GB,4.16,https://images.gr-assets.com/books/1419363185m/4982.jpg
1075,2266047426,9.78E+12,"Stephen King, Dominique Dill",1992,Dolores Claiborne,fre,3.81,https://images.gr-assets.com/books/1394213480m/10625.jpg
1076,62414216,9.78E+12,Cynthia D'Aprix Sweeney,2016,The Nest,eng,3.45,https://images.gr-assets.com/books/1461354827m/25781157.jpg
1077,1563899426,9.78E+12,"Bill Willingham, Lan Medina, Steve Leialoha, Craig Hamilton, James Jean",2001,"Fables, Volume 1: Legends in Exile",eng,3.99,https://images.gr-assets.com/books/1375392441m/21326.jpg
1078,142000280,9.78E+12,David    Allen,2001,Getting Things Done: How To Achieve Stress-free Productivity,en-GB,3.98,https://images.gr-assets.com/books/1312474060m/1633.jpg
1079,446671002,9.78E+12,James Redfield,1993,The Celestine Prophecy,en-US,3.6,https://images.gr-assets.com/books/1341360412m/13103.jpg
1080,803736991,9.78E+12,Huntley Fitzpatrick,2012,My Life Next Door ,eng,4.02,https://images.gr-assets.com/books/1394240144m/12294652.jpg
1081,525952926,9.78E+12,Ken Follett,2012,Winter of the World,eng,4.29,https://images.gr-assets.com/books/1369453743m/12959233.jpg
1082,385352107,9.78E+12,"Haruki Murakami, Philip Gabriel",2013,"色彩を持たない多崎つくると、彼の巡礼の年 [Shikisai o motanai Tazaki Tsukuru to, kare no junrei no toshi]",eng,3.82,https://images.gr-assets.com/books/1409000450m/19288239.jpg
1083,033041836X,9.78E+12,Alice Sebold,1999,Lucky,eng,3.77,https://images.gr-assets.com/books/1327190847m/82970.jpg
1084,140679239X,9.78E+12,Virginia Woolf,1927,To The Lighthouse ,eng,3.76,https://images.gr-assets.com/books/1346239665m/59716.jpg
1085,8129104598,9.79E+12,Chetan Bhagat,2004,Five Point Someone: What Not to Do at IIT,en-GB,3.43,https://images.gr-assets.com/books/1298571209m/105576.jpg
1086,425197549,9.78E+12,Laurell K. Hamilton,1993,Guilty Pleasures,eng,4.02,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1087,375836675,9.78E+12,Markus Zusak,2002,The Messenger,en-US,4.09,https://images.gr-assets.com/books/1398483261m/19057.jpg
1088,141439653,9.78E+12,"Thomas Hardy, Rosemarie Morgan, Shannon Russell",1874,Far from the Madding Crowd,eng,3.92,https://images.gr-assets.com/books/1388279695m/31463.jpg
1089,60855908,9.78E+12,Terry Pratchett,1987,Equal Rites,eng,4,https://images.gr-assets.com/books/1407706800m/34507.jpg
1090,038560310X,9.78E+12,Mark Z. Danielewski,2000,House of Leaves,eng,4.13,https://images.gr-assets.com/books/1403889034m/24800.jpg
1091,380718340,9.78E+12,Patricia Cornwell,1993,Cruel & Unusual,nl,4.11,https://images.gr-assets.com/books/1327865095m/85379.jpg
1092,385537131,9.78E+12,John Grisham,2013,Sycamore Row,eng,3.98,https://images.gr-assets.com/books/1375888633m/17288661.jpg
1093,312650248,9.78E+12,"P.C. Cast, Kristin Cast",2011,Awakened,en-US,4.02,https://images.gr-assets.com/books/1307744664m/8652190.jpg
1094,1583485090,9.78E+12,Willa Cather,1918,My Ántonia,eng,3.76,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1095,152061548,,Susan Beth Pfeffer,2006,Life As We Knew It,eng,3.89,https://images.gr-assets.com/books/1328012816m/213753.jpg
1096,713998946,9.78E+12,"Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms",2004,America (The Book): A Citizen's Guide to Democracy Inaction,eng,4.02,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1097,800759494,9.78E+12,"Don Piper, Cecil Murphey",2004,90 Minutes in Heaven,,3.91,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1098,1455520659,9.78E+12,Nicholas Sparks,2012,The Longest Ride,eng,4.14,https://images.gr-assets.com/books/1367536453m/17407748.jpg
1099,679776192,9.78E+12,"Lao Tzu, Gia-Fu Feng, Jane English, Chungliang Al Huang, Rowena Pattee Kryder, Toinette Lippe",-300,道德經 [dào dé jīng],eng,4.31,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1100,312995059,9.78E+12,Jeffrey Archer,1979,Kane and Abel,en-US,4.27,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1101,743496744,9.78E+12,Jodi Picoult,2008,Change of Heart,en-US,3.91,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1102,312423799,9.78E+12,Augusten Burroughs,2003,Dry: A Memoir,eng,4.01,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1103,446613347,9.78E+12,James Patterson,2001,Sam's Letters To Jennifer,,4.15,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1104,1101946342,9.78E+12,E.L. James,2015,Grey,en-GB,3.76,https://images.gr-assets.com/books/1433182986m/25644601.jpg
1105,441172695,9.78E+12,Frank Herbert,1969,Dune Messiah ,eng,3.86,https://images.gr-assets.com/books/1392528394m/106.jpg
1106,6280560,9.79E+12,C.S. Lewis,1945,The Great Divorce,en-US,4.28,https://images.gr-assets.com/books/1166805741m/17267.jpg
1107,1416528636,9.78E+12,Jennifer Weiner,2004,Little Earthquakes,,3.76,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1108,517092913,9.78E+12,"Hans Christian Andersen, Lily Owens, Arthur Rackham, Hans Richter",1835,Eventyr og historier,eng,4.28,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1109,316075809,9.78E+12,Mark Cotta Vaz,2009,New Moon: The Complete Illustrated Movie Companion,en-US,4.34,https://images.gr-assets.com/books/1343724104m/6466909.jpg
1110,,,Colleen Hoover,2014,Maybe Someday,eng,4.33,https://images.gr-assets.com/books/1421002815m/24445517.jpg
1111,767905202,9.78E+12,Jane Green,1999,Mr Maybe,eng,3.41,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1112,553213172,9.78E+12,L.M. Montgomery,1915,Anne of the Island,eng,4.21,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1113,140047484,9.78E+12,"Friedrich Nietzsche, Walter Kaufmann",1883,Also sprach Zarathustra,eng,4.05,https://images.gr-assets.com/books/1480901846m/51893.jpg
1114,140620192,9.78E+12,"Elizabeth Gaskell, Alan Shelston",1854,North and South,eng,4.13,https://images.gr-assets.com/books/1349633381m/156538.jpg
1115,1451629184,9.78E+12,Jaycee Dugard,2011,A Stolen Life,en-US,3.89,https://images.gr-assets.com/books/1327928284m/11330361.jpg
1116,,,Amish Tripathi,2010,The Immortals of Meluha,eng,4,https://images.gr-assets.com/books/1334659192m/7913305.jpg
1117,752224417,9.78E+12,Michael Crichton,1995,The Lost World,eng,3.72,https://images.gr-assets.com/books/1386864575m/8650.jpg
1118,62014536,9.78E+12,Lauren Oliver,2013,Requiem,eng,3.74,https://images.gr-assets.com/books/1340992438m/9593913.jpg
1119,812550285,9.78E+12,Robert Jordan,1996,A Crown of Swords,eng,4,https://images.gr-assets.com/books/1358542379m/13890.jpg
1120,192840509,9.78E+12,"Aesop, Laura Harris, Laura Gibbs",-560,Aesopica,eng,4.05,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1121,679728759,9.78E+12,Cormac McCarthy,1985,Blood Meridian: Or the Evening Redness in the West,eng,4.18,https://images.gr-assets.com/books/1453995760m/394535.jpg
1122,1442426675,9.78E+12,Becca Fitzpatrick,2012,Finale,eng,4.22,https://images.gr-assets.com/books/1362408156m/12751687.jpg
1123,751504386,9.78E+12,Stephen King,1985,Skeleton Crew,eng,3.93,https://images.gr-assets.com/books/1271861632m/13440.jpg
1124,99437961,9.78E+12,Chuck Palahniuk,2002,Lullaby,,3.73,https://images.gr-assets.com/books/1327268513m/22206.jpg
1125,8129115301,9.79E+12,Chetan Bhagat,2009,Two States,eng,3.42,https://images.gr-assets.com/books/1255292027m/6969361.jpg
1126,1421508222,9.78E+12,"Matsuri Hino, Tomo Kimura",2005,ヴァンパイア騎士 1,eng,4.1,https://images.gr-assets.com/books/1329232329m/263145.jpg
1127,451458923,9.78E+12,Jim Butcher,2002,Summer Knight,eng,4.3,https://images.gr-assets.com/books/1345557469m/91478.jpg
1128,345484266,9.78E+12,"Anne McCaffrey, Teodor Panasiński",1968,Dragonflight,eng,4.1,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1129,618968474,9.78E+12,"John D. Rateliff, J.R.R. Tolkien",2007,"The History of the Hobbit, Part One: Mr. Baggins",eng,3.81,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1130,,,Colleen Hoover,2014,Ugly Love,eng,4.3,https://images.gr-assets.com/books/1399179135m/17788401.jpg
1131,014100018X,9.78E+12,Joanne Harris,1998,Chocolat,eng,3.95,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1132,553116606,9.78E+12,Jay Anson,1977,The Amityville Horror,eng,3.82,https://images.gr-assets.com/books/1306079371m/293101.jpg
1133,771068719,9.78E+12,Michael Ondaatje,1992,The English Patient,,3.88,https://images.gr-assets.com/books/1320527907m/11713.jpg
1134,1936305550,9.78E+12,Sylvain Reynard,2012,Gabriel's Rapture,eng,4.22,https://images.gr-assets.com/books/1343962380m/13639050.jpg
1135,192839993,9.78E+12,"James Joyce, Jeri Johnson",1914,Dubliners,eng,3.85,https://images.gr-assets.com/books/1334138184m/11012.jpg
1136,1400063736,9.78E+12,Colum McCann,2009,Let the Great World Spin,en-US,3.93,https://images.gr-assets.com/books/1474988022m/5941033.jpg
1137,141321318,9.78E+12,Eoin Colfer,2003,The Eternity Code,eng,4.04,https://images.gr-assets.com/books/1327945417m/227865.jpg
1138,440236703,9.78E+12,Harlan Coben,2001,Tell No One,eng,4.11,https://images.gr-assets.com/books/1421365049m/43933.jpg
1139,,,Stephen King,1987,The Tommyknockers,eng,3.48,https://images.gr-assets.com/books/1394210331m/17660.jpg
1140,1423121309,9.78E+12,Rachel Hawkins,2010,Hex Hall,eng,3.96,https://images.gr-assets.com/books/1368393885m/5287473.jpg
1141,761169253,9.78E+12,Austin Kleon,2010,Steal Like an Artist,en-US,3.86,https://images.gr-assets.com/books/1404576602m/13099738.jpg
1142,60512806,9.78E+12,Neal Stephenson,1999,Cryptonomicon,eng,4.25,https://images.gr-assets.com/books/1327931476m/816.jpg
1143,1476730105,9.78E+12,Christina Lauren,2013,Beautiful Bastard,eng,4.05,https://images.gr-assets.com/books/1362258921m/16102004.jpg
1144,60959037,9.78E+12,Barbara Kingsolver,2000,Prodigal Summer,en-US,3.98,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1145,452282829,9.78E+12,Joyce Carol Oates,1996,We Were the Mulvaneys,eng,3.7,https://images.gr-assets.com/books/1309282868m/5204.jpg
1146,006097625X,9.78E+12,Scott McCloud,1993,Understanding Comics: The Invisible Art,en-US,3.98,https://images.gr-assets.com/books/1328408101m/102920.jpg
1147,316077054,9.78E+12,"Kami Garcia, Margaret Stohl",2010,Beautiful Darkness,en-US,3.84,https://images.gr-assets.com/books/1327879100m/7842288.jpg
1148,1594485755,9.78E+12,Jon Ronson,2011,The Psychopath Test,eng,3.91,https://images.gr-assets.com/books/1364166270m/12391521.jpg
1149,743454553,9.78E+12,Jodi Picoult,2005,Vanishing Acts,en-US,3.68,https://images.gr-assets.com/books/1407719603m/14865.jpg
1150,330419641,9.78E+12,David Baldacci,1995,Absolute Power,eng,4.15,https://images.gr-assets.com/books/1328399707m/15159.jpg
1151,312976275,9.78E+12,Janet Evanovich,2000,Hot Six,eng,4.18,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1152,1401322786,9.78E+12,Mitch Albom,2012,The Time Keeper,eng,3.85,https://images.gr-assets.com/books/1340478576m/13624688.jpg
1153,60590270,9.78E+12,Christopher Moore,2006,A Dirty Job,en-US,4.08,https://images.gr-assets.com/books/1331323415m/33456.jpg
1154,393324818,9.78E+12,Michael   Lewis,2003,Moneyball: The Art of Winning an Unfair Game,en-US,4.24,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1155,078681859X,9.78E+12,Jonathan Stroud,2003,The Amulet of Samarkand,en-US,3.99,https://images.gr-assets.com/books/1327877926m/334123.jpg
1156,446580503,9.78E+12,"Stephen Colbert, Richard Dahm, Paul Dinello, Allison Silverman, Michael Brumm, Eric Drydale, Rob Dubbin, Glenn Eichler, Peter Grosz, Peter Gwinn, Jay Katsir, Laura Krafft, Frank Lesser, Tom Purcell",2007,I Am America (And So Can You!),en-US,3.91,https://images.gr-assets.com/books/1435873807m/611298.jpg
1157,688014291,9.78E+12,"Kenneth H. Blanchard, Spencer Johnson",1981,The One Minute Manager,en-US,3.85,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1158,553258478,9.78E+12,Leon Uris,1958,Exodus,eng,4.33,https://images.gr-assets.com/books/1359742531m/42697.jpg
1159,068484477X,9.78E+12,Ursula Hegi,1994,Stones from the River,en-GB,4.07,https://images.gr-assets.com/books/1366513909m/77163.jpg
1160,394758285,9.78E+12,Raymond Chandler,1939,The Big Sleep,eng,4.04,https://images.gr-assets.com/books/1371584712m/2052.jpg
1161,014200068X,9.78E+12,John Steinbeck,1945,Cannery Row ,eng,4.02,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1162,446585025,9.78E+12,Ellen DeGeneres,2011,Seriously...I'm Kidding,en-US,3.72,https://images.gr-assets.com/books/1441195131m/11230081.jpg
1163,439272637,9.78E+12,"Lemony Snicket, Brett Helquist",2000,The Miserable Mill,en-US,3.83,https://images.gr-assets.com/books/1352146209m/65119.jpg
1164,316175676,9.78E+12,Eowyn Ivey,2012,The Snow Child,eng,3.95,https://images.gr-assets.com/books/1327098624m/11250053.jpg
1165,,2.94E+12,"J. Lynn, Jennifer L. Armentrout",2013,Wait for You,eng,4.19,https://images.gr-assets.com/books/1363819713m/17314430.jpg
1166,810970686,9.78E+12,Jeff Kinney,2009,The Last Straw,eng,4.11,https://images.gr-assets.com/books/1350396036m/3293821.jpg
1167,679433139,9.78E+12,"Dante Alighieri, Allen Mandelbaum, Eugenio Montale",1308,La Divina Commedia,eng,4.06,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1168,1405204265,9.78E+12,"Benjamin Hoff, Ernest H. Shepard",1982,The Tao of Pooh,eng,4.01,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1169,1620610116,9.78E+12,Jennifer L. Armentrout,2012,Onyx,eng,4.33,https://images.gr-assets.com/books/1329408511m/13047090.jpg
1170,62085530,9.78E+12,Tahereh Mafi,2013,"Unravel Me (Shatter Me, #2)",eng,4.28,https://images.gr-assets.com/books/1340287622m/13104080.jpg
1171,812968972,9.78E+12,Sarah Dunant,2003,The Birth of Venus,en-US,3.79,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1172,,9.78E+12,Eoin Colfer,2005,The Opal Deception,eng,4.04,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1173,385354282,9.78E+12,"David Lagercrantz, Stieg Larsson, George Goulding",2015,Det som inte dödar oss,eng,3.73,https://images.gr-assets.com/books/1427843648m/25074850.jpg
1174,081299860X,9.78E+12,Emma Cline,2016,The Girls,eng,3.49,https://images.gr-assets.com/books/1492065338m/26893819.jpg
1175,1582349908,9.78E+12,Shannon Hale,2003,The Goose Girl,en-US,4.18,https://images.gr-assets.com/books/1330728389m/179064.jpg
